Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
14-Mar-24,EQ,"3,717.00","3,803.75","3,686.25","3,735.55","3,764.95","3,772.65","3,759.72","4,200.00","2,836.00","7,20,948","2,71,05,63,810.90","1,09,755"
15-Mar-24,EQ,"3,772.65","3,779.95","3,707.05","3,772.65","3,747.50","3,745.65","3,741.63","4,200.00","2,836.00","4,87,749","1,82,49,77,616.85","42,068"
18-Mar-24,EQ,"3,745.00","3,745.00","3,681.70","3,745.65","3,705.00","3,699.70","3,706.60","4,200.00","2,836.00","5,33,167","1,97,62,36,767.75","54,347"
19-Mar-24,EQ,"3,699.70","3,730.00","3,672.00","3,699.70","3,730.00","3,716.85","3,701.20","4,200.00","2,836.00","5,59,402","2,07,04,56,668.45","38,085"
20-Mar-24,EQ,"3,821.00","3,940.00","3,821.00","3,716.85","3,875.00","3,873.60","3,890.81","4,200.00","2,836.00","30,45,475","11,84,93,61,581.50","1,82,175"
21-Mar-24,EQ,"3,881.35","3,949.00","3,881.00","3,873.60","3,933.65","3,918.95","3,918.24","4,200.00","2,836.00","8,38,929","3,28,71,25,201.55","87,735"
22-Mar-24,EQ,"3,945.00","4,013.95","3,863.20","3,918.95","3,990.00","3,988.40","3,953.32","4,200.00","2,836.00","10,33,237","4,08,47,20,443.50","75,272"
26-Mar-24,EQ,"4,001.45","4,042.50","3,907.10","3,988.40","3,919.20","3,911.10","3,945.11","4,200.00","2,836.00","7,72,158","3,04,62,45,492.10","75,089"
27-Mar-24,EQ,"3,934.80","3,987.00","3,905.80","3,911.10","3,915.20","3,913.80","3,953.09","4,200.00","2,836.00","5,10,950","2,01,98,28,942.10","50,265"
28-Mar-24,EQ,"3,915.30","4,075.00","3,891.75","3,913.80","4,026.00","4,019.30","4,016.60","4,200.00","2,836.00","13,07,106","5,25,01,25,066.05","1,29,420"
1-Apr-24,EQ,"4,060.80","4,070.00","3,936.50","4,019.30","3,952.40","3,946.65","3,980.39","4,200.00","2,922.20","5,32,524","2,11,96,55,493.15","47,636"
2-Apr-24,EQ,"3,990.00","3,990.00","3,914.30","3,946.65","3,921.50","3,922.20","3,930.17","4,200.00","2,922.20","4,85,047","1,90,63,15,633.35","39,989"
3-Apr-24,EQ,"3,923.00","3,943.10","3,886.10","3,922.20","3,940.00","3,934.20","3,921.30","4,200.00","2,922.20","3,92,460","1,53,89,54,089.95","44,181"
4-Apr-24,EQ,"3,957.00","4,030.00","3,892.05","3,934.20","4,005.00","4,014.30","3,976.90","4,200.00","2,922.20","9,32,478","3,70,83,67,855.35","1,21,609"
5-Apr-24,EQ,"4,013.00","4,046.55","3,967.55","4,014.30","4,027.80","4,031.25","4,023.76","4,200.00","2,922.20","5,37,212","2,16,16,12,518.20","67,668"
8-Apr-24,EQ,"4,024.95","4,303.45","4,011.60","4,031.25","4,189.00","4,205.75","4,206.78","4,303.45","2,951.15","21,65,986","9,11,18,17,746.30","1,98,006"
9-Apr-24,EQ,"4,247.80","4,267.90","4,137.50","4,205.75","4,251.00","4,248.65","4,196.80","4,303.45","2,951.15","9,70,657","4,07,36,50,118.30","77,081"
10-Apr-24,EQ,"4,250.00","4,335.00","4,222.05","4,248.65","4,297.60","4,315.10","4,270.93","4,335.00","2,951.15","10,18,246","4,34,88,61,773.75","1,05,725"
12-Apr-24,EQ,"4,310.00","4,382.80","4,267.80","4,315.10","4,305.00","4,302.25","4,337.34","4,382.80","2,951.15","11,33,493","4,91,63,47,410.10","67,079"
15-Apr-24,EQ,"4,250.00","4,317.85","4,193.75","4,302.25","4,260.00","4,219.35","4,257.83","4,382.80","3,156.15","8,60,133","3,66,22,97,391.35","52,507"
16-Apr-24,EQ,"4,217.40","4,404.00","4,206.30","4,219.35","4,348.00","4,355.70","4,344.68","4,404.00","3,156.15","14,67,677","6,37,65,89,834.20","1,36,315"
